,,,,,,,,,,,,,,
Emblem &,,,,,,,,,,,,,,
World,Bond Ring,Rank,HP+,Str+,Mag+,Dex+,Spd+,Lck+,Def+,Res+,Bld+,Skill,Skill Description,Ring Description
Marth,Caeda,C,,,,,1,,,,,---,---,"Princess of Talys on Archanea, a continent in another world."
World of the,Caeda,B,,,,,1,1,,,,---,---,Pegasus knight with a cheerful nature and engaging natural charm.
Hero-King,Caeda,A,,,,1,1,1,,,,---,---,Met Marth after he fled his home. They eventually became engaged.
,Caeda,S,,,,1,2,1,,,,Sympathetic,"If foe initiates combat and if unit's HP is 50% or less, unit takes 5 less damage.",Appears in Shadow Dragon & the Blade of Light and others.
,Ogma,C,,1,,,,,,,,---,---,Hero from beyond Elyos who led a band of mercenaries in Talys.
,Ogma,B,,1,,1,,,,,,---,---,Extremely capable battlefield veteran who used to be a gladiator.
,Ogma,A,,1,,1,1,,,,,---,---,Has held Caeda in high esteem since she saved him in his gladiator days.
,Ogma,S,,2,,1,1,,,,,---,---,Appears in Shadow Dragon & the Blade of Light and others.
,Navarre,C,,,,1,,,,,,---,---,"Hero from beyond Elyos known as the ""Scarlet Sword."""
,Navarre,B,,,,1,1,,,,,---,---,"Appeared as a bodyguard for bandits, fighting with deadly blade in hand."
,Navarre,A,,,,1,1,1,,,,---,---,"He claims that he would never ""turn his blade on a woman."""
,Navarre,S,,,,2,1,1,,,,Deadly Blade,"If unit initiates combat with a sword, grants Crit+10 during combat.",Appears in Shadow Dragon & the Blade of Light and others.
,Merric,C,,,,,1,,,,,---,---,"Hero from beyond Elyos and magical prodigy known as the ""Wind Mage."""
,Merric,B,,,,1,1,,,,,---,---,Studied in Khadein and inherited the wind magic tome Excalibur.
,Merric,A,,,,1,1,,1,,,---,---,A member of Altean nobility and a childhood friend of Prince Marth.
,Merric,S,,,,1,2,,1,,,---,---,Appears in Shadow Dragon & the Blade of Light and others.
,Minerva,C,,,,,,1,,,,---,---,"Princess of Macedon on Archanea, a continent in another world."
,Minerva,B,,,,,,1,1,,,---,---,"A proud and gallant woman also known as the ""Red Dragoon."""
,Minerva,A,2,,,,,1,1,,,---,---,"To reform her homeland, she fought against them as a traitor."
,Minerva,S,2,,,,,2,1,,,---,---,Appears in Shadow Dragon & the Blade of Light and others.
,Linde,C,,,,,,1,,,,---,---,Hero from beyond Elyos with the gift of powerful magic.
,Linde,B,,,1,,,1,,,,---,---,The strong-willed daughter of Pontifex Miloah from Archanea.
,Linde,A,,,1,,1,1,,,,---,---,Her father passed down Aura magic to her for her fight against Gharnef.
,Linde,S,,,1,,1,2,,,,---,---,Appears in Shadow Dragon & the Blade of Light and others.
,Tiki,C,,,,,,1,,,,---,---,Hero from beyond Elyos and a Divine Dragon princess.
,Tiki,B,,,,,1,1,,,,---,---,A manakete who took human form after sealing away her dragon power.
,Tiki,A,,,,1,1,1,,,,---,---,She was Marth's staunch ally after he saved her from Gharnef's control.
,Tiki,S,,,,1,1,2,,,,---,---,Appears in Shadow Dragon & the Blade of Light and others.
,Kris,C,2,,,,,,,,,---,---,Hero from beyond Elyos and royal guard who served under Marth.
,Kris,B,2,1,,,,,,,,---,---,Hailed from the kingdom of Altea and became a knight of the 7th Platoon.
,Kris,A,2,1,,1,,,,,,---,---,Behind-the-scenes hero who guarded Marth in battles across the land.
,Kris,S,4,1,,1,,,,,,---,---,Appears in New Mystery of the Emblem.
,Katarina,C,,,,,,,1,,,---,---,Hero from beyond Elyos and young tactician-in-training.
,Katarina,B,2,,,,,,1,,,---,---,Went to serve Marth at Altea Castle and joined the 7th Platoon with Kris.
,Katarina,A,2,,,,,1,1,,,---,---,"She is calm and cares for her friends, but harbors a terrible secret inside."
,Katarina,S,2,,,,,1,2,,,---,---,Appears in New Mystery of the Emblem.
,Legion,C,,1,,,,,,,,---,---,Hero from beyond Elyos who belonged to a group of assassins.
,Legion,B,,1,,,1,,,,,---,---,Known for his suspicious mask and odd laugh during battle.
,Legion,A,,1,,1,1,,,,,---,---,"Worked with his many identical ""brothers"" to assassinate targets."
,Legion,S,,2,,1,1,,,,,---,---,Appears in New Mystery of the Emblem.
Sigurd,Deirdre,C,,,,,,,,1,,---,---,Hero from beyond Elyos and a priestess of the Spirit Forest.
World of the,Deirdre,B,,,1,,,,,1,,---,---,"Forbidden from interaction, she still met Sigurd and became his wife."
Holy Knight,Deirdre,A,,,1,1,,,,1,,---,---,They lived happily with their son Seliph until a dark cult intervened.
,Deirdre,S,,,1,1,,,,2,,Renewal,Unit recovers 5 HP each turn.,Appears in Genealogy of the Holy War.
,Arden,C,,1,,,,,,,,---,---,Hero from beyond Elyos who served under Sigurd as an armored knight.
,Arden,B,,1,,,,,1,,,---,---,Member of the GrÃ¼nritter order of the Knights of Chalphy.
,Arden,A,2,1,,,,,1,,,---,---,"Known by allies as strong and tough, but unfortunately slow."
,Arden,S,2,2,,,,,1,,,---,---,Appears in Genealogy of the Holy War.
,Azelle,C,,,1,,,,,,,---,---,"Son of the Duke of Velthomer on Jugdral, a continent in another world."
,Azelle,B,,,1,,1,,,,,---,---,A gentle fire mage descended from the crusader and mage fighter Fjalar.
,Azelle,A,,,1,,1,,1,,,---,---,"He fought to rescue his love, Edain, from her kidnapping."
,Azelle,S,,,2,,1,,1,,,---,---,Appears in Genealogy of the Holy War.
,Quan,C,,1,,,,,,,,---,---,"Prince of Leonster on Jugdral, a continent in another world."
,Quan,B,,1,,,,,1,,,---,---,"A descendant of crusader NjÃ¶run, he inherited the holy lance GÃ¡e Bolg."
,Quan,A,,1,,,1,,1,,,---,---,"Sigurd's friend since their academy days, he values friendship and justice."
,Quan,S,,2,,,1,,1,,,---,---,Appears in Genealogy of the Holy War.
,Ethlyn,C,2,,,,,,,,,---,---,"Daughter of the Duke of Chalphy on Jugdral, a continent in another world."
,Ethlyn,B,2,,,,1,,,,,---,---,Lord Sigurd's dependable and caring younger sister.
,Ethlyn,A,2,,,1,1,,,,,---,---,"Married Quan, her brother's friend, with whom she had Altena and Leif."
,Ethlyn,S,4,,,1,1,,,,,---,---,Appears in Genealogy of the Holy War.
,Ayra,C,,,,1,,,,,,---,---,"Princess of Isaach on Jugdral, a continent in another world."
,Ayra,B,,,,1,1,,,,,---,---,A skilled swordswoman who became Sigurd's ally and fought by his side.
,Ayra,A,,1,,1,1,,,,,---,---,Descendant of the crusader Od and master of the special skill Astra.
,Ayra,S,,1,,2,1,,,,,---,---,Appears in Genealogy of the Holy War.
,Lachesis,C,,1,,,,,,,,---,---,"Princess of Nordion on Jugdral, a continent in another world."
,Lachesis,B,,1,,,1,,,,,---,---,The beautiful and noble younger sister of King Eldigan the Lionheart.
,Lachesis,A,,1,,1,1,,,,,---,---,Criticized many of her suitors for not measuring up to her brother.
,Lachesis,S,,2,,1,1,,,,,---,---,Appears in Genealogy of the Holy War.
,Lewyn,C,,,,,1,,,,,---,---,"Prince of Silesse on Jugdral, a continent in another world."
,Lewyn,B,,,1,,1,,,,,---,---,"Descendant of the crusader Ced, he inherited the holy wind tome Forseti."
,Lewyn,A,,,1,1,1,,,,,---,---,"Fought alongside Sigurd and, after his death, his son, Seliph, as well."
,Lewyn,S,,,1,1,2,,,,,---,---,Appears in Genealogy of the Holy War and Thracia 776.
,Erinys,C,,,,1,,,,,,---,---,Hero from beyond Elyos and pegasus knight who served Silesse.
,Erinys,B,,1,,1,,,,,,---,---,"One of the Four Heavenly Knights, she searched for Prince Lewyn."
,Erinys,A,,1,1,1,,,,,,---,---,"Highly capable, but also overly serious and somewhat gullible."
,Erinys,S,,1,1,2,,,,,,---,---,Appears in Genealogy of the Holy War.
,Seliph,C,,1,,,,,,,,---,---,"Hero from beyond Elyos known as the ""Scion of Light."""
,Seliph,B,,1,,1,,,,,,---,---,Son of Sigurd and Deirdre and descendant of the crusader Baldr.
