,,,,,,,,,Can't think of a better way to do this...,,
,,,,,,,,,,,
Character,Prefix1,Prefix2,Prefix3,Expert,Skilled,Capable,Capable,Eager,Likes,Dislikes,
Vander,Lackluster,Tasteful,Lythos-Style,Croissant,Hot Crêpe,Berry Custard Tart,Apple Beignets,Peach Sorbet,"Crispy Roasted Pork Belly, Fruit Pie, Meat Dango in Cream Sauce, Crisp Bread, Sour Cream Congee, Tree Cake, Oatmeal, Baked Potato, Nut Compote, Crumble Cake, Onion Soup, Bean and Veggie Consommé, Potato Soup, Apple Pie, Potato Pancakes, Steamed Dango, Apple and Cheese Toasties, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Chilled Vegetable Soup, Berry Sauce Panna Cotta, Soft Candies, Rosetta Bread, Jam Thumbprint Cookies, Cinnamon Roll, Cabbage-and-Nut Salad, Apple Pudding Pie, Sautéed Apples with Bacon, Berry Jelly, Soda Bread, Anmitsu, Peasant Bread, Croissant, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Mutton and Cabbage Stew, Braised Lamb Shank, Cheese Wedge, Haggis, Marinated Herring, Smoked Freshwater Eel, Deep-Fried Carp, Prosciutto, Seafood Medley with Garlic, Salt Pork, Blood Sausage, Sashimi Moriawase, Mutton Stew, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Meatballs and Beans, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Clanne,Mouthwatering,Robust,Your Favorite,Mutton Stew,Very Veggie Stew,Peasant Bread,Cod Dip,Hot Crêpe,"Mutton and Cabbage Stew, Crispy Roasted Pork Belly, Braised Lamb Shank, Braised Beef in Grape Sauce, Creamy Fish Chowder, Marinated Salmon, Cheese Wedge, Chicken Tomato Curry, Haggis, Marinated Herring, Meat Pie, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Potato Soup, Salted-Meat Stew, Pickle Herring Rolls, Pickled Cabbage, Onion Quiche, Omelet, Deep-Dish Crêpe Pizza, Steak Fries, Chilled Vegetable Soup, Seafood Paella, Meatballs and Beans, Seafood Medley with Garlic, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Classic Pizza, Acqua Pazza, Meat-Filled Potato Roll, Potted Casserole, Mashed Potato Stew, Salmon Potato Gratin, Cabbage-and-Nut Salad, Peasant Bread, Mutton Stew, Very Veggie Stew, Cod Dip, Hot Crêpe, Veggie Sticks, Chili Salad, Pickled Chilies, Chili-Cheese Stew","Fruit Pie, Crêpe Pancakes, Jam Cake, Tree Cake, Nut Compote, Crumble Cake, Apple Pie, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Churros, Soft Candies, Jam Thumbprint Cookies, Cinnamon Roll, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Uiro, Anmitsu, Berry Custard Tart, Apple Beignets, Chocolate Orange",
Framme,Divine,Your Favorite,Lythos-Style,Chocolate Orange,Peach Sorbet,Mutton Stew,Very Veggie Stew,Berry Custard Tart,"Mutton and Cabbage Stew, Fruit Pie, Marinated Salmon, Sour Cream Congee, Crêpe Pancakes, Jam Cake, Tree Cake, Nut Compote, Haggis, Crumble Cake, Meat Pie, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Potato Soup, White Sausage, Salted-Meat Stew, Smoked Freshwater Eel, Deep-Fried Carp, Apple Pie, Pickled Cabbage, Onion Quiche, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Chilled Vegetable Soup, Seafood Paella, Meatballs and Beans, Tiramisu, Berry Sauce Panna Cotta, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Crème Brûlée, Churros, Soft Candies, Classic Pizza, Acqua Pazza, Meat-Filled Potato Roll, Potted Casserole, Mashed Potato Stew, Salmon Potato Gratin, Clover Salad, Jam Thumbprint Cookies, Cinnamon Roll, Cabbage-and-Nut Salad, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Uiro, Anmitsu, Mutton Stew, Very Veggie Stew, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade, Veggie Sticks","Braised Lamb Shank, Seafood Medley with Garlic, Risotto, Blood Sausage, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Alfred,Saintly,"Light, Refreshing",Stomach-Churning,Potato Soup,White Sausage,Steamed Dango,Bean and Veggie Consommé,Cream Croquette,"Mutton and Cabbage Stew, Crispy Roasted Pork Belly, Fruit Pie, Cod Boil, Creamy Fish Chowder, Meat Dango in Cream Sauce, Marinated Salmon, Sour Cream Congee, Crêpe Pancakes, Tree Cake, Fish Dango, Baked Potato, Nut Compote, Traveler's Egg, Chicken Tomato Curry, Haggis, Crumble Cake, Marinated Herring, Meat Pie, Bean and Veggie Consommé, Minced-Meat Dumplings, Potato Soup, White Sausage, Cream Croquette, Pickle Herring Rolls, Apple Pie, Potato Pancakes, Steamed Dango, Onion Quiche, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Nut Milk Pie, Nut Rice Pudding, Dome Bread, Chilled Vegetable Soup, Prosciutto, Seafood Paella, Meatballs and Beans, Tiramisu, Berry Sauce Panna Cotta, Fried Sardines, Crème Brûlée, Churros, Soft Candies, Classic Pizza, Rice Croquettes, Meat-Filled Potato Roll, Potted Casserole, Mushy Peas, Sandwich Cake, Roast Salmon, Mashed Potato Stew, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cinnamon Roll, Open-Faced Sandwich, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Miso Soup, Uiro, Anmitsu, Rice with Egg, Croissant, Cod Dip, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Crisp Bread, Cheese Wedge, Smoked Freshwater Eel, Pickled Cabbage, Deep-Fried Carp, Apple and Cheese Toasties, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Rosetta Bread, Blood Sausage, Soda Bread, Sashimi Moriawase, Peasant Bread, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Boucheron,Lip-Smacking,Rather Tough,Firene-Style,Omelet,Bean and Veggie Consommé,Potato Soup,Salted-Meat Stew,Onion Quiche,"Mutton and Cabbage Stew, Crispy Roasted Pork Belly, Braised Lamb Shank, Fruit Pie, Braised Beef in Grape Sauce, Cod Boil, Creamy Fish Chowder, Meat Dango in Cream Sauce, Marinated Salmon, Fish Dango, Baked Potato, Traveler's Egg, Chicken Tomato Curry, Haggis, Marinated Herring, Meat Pie, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Potato Soup, White Sausage, Salted-Meat Stew, Pickle Herring Rolls, Apple Pie, Potato Pancakes, Steamed Dango, Onion Quiche, Peach Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Steak Fries, Chilled Vegetable Soup, Prosciutto, Kebabs, Seafood Paella, Meatballs and Beans, Berry Sauce Panna Cotta, Seafood Medley with Garlic, Fried Sardines, Vegetable Stir-Fry, Tomatoes in Sweet Vinegar, Classic Pizza, Acqua Pazza, Veal Rolls, Salt Pork, Meat-Filled Potato Roll, Potted Casserole, Sandwich Cake, Roast Salmon, Mashed Potato Stew, Salmon Potato Gratin, Fish-and-Bacon Pocket Bun, Jam Thumbprint Cookies, Cinnamon Roll, Cabbage-and-Nut Salad, Open-Faced Sandwich, Sautéed Apples with Bacon, Berry Jelly, Anmitsu, Mutton Stew, Very Veggie Stew, Cod Dip, Hot Crêpe, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade, Veggie Sticks","Sour Cream Congee, Smoked Freshwater Eel, Deep-Fried Carp, Apple and Cheese Toasties, Blood Sausage, Soda Bread, Sashimi Moriawase, Rice with Egg, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Etie,Mild,Spicy,Sweet,Pickled Cabbage,Potato Pancakes,Minced-Meat Dumplings,Onion Quiche,Onion Soup,"Mutton and Cabbage Stew, Fruit Pie, Cod Boil, Creamy Fish Chowder, Meat Dango in Cream Sauce, Marinated Salmon, Sour Cream Congee, Crêpe Pancakes, Fish Dango, Cheese Wedge, Oatmeal, Nut Compote, Chicken Tomato Curry, Crumble Cake, Marinated Herring, Onion Soup, Bean and Veggie Consommé, Minced-Meat Dumplings, Potato Soup, Salted-Meat Stew, Smoked Freshwater Eel, Pickle Herring Rolls, Pickled Cabbage, Potato Pancakes, Steamed Dango, Onion Quiche, Apple and Cheese Toasties, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Omelet, Deep-Dish Crêpe Pizza, Nut Rice Pudding, Dome Bread, Chilled Vegetable Soup, Prosciutto, Kebabs, Seafood Paella, Meatballs and Beans, Berry Sauce Panna Cotta, Soft Candies, Classic Pizza, Acqua Pazza, Veal Rolls, Blood Sausage, Potted Casserole, Mushy Peas, Sandwich Cake, Roast Salmon, Mashed Potato Stew, Salmon Potato Gratin, Cinnamon Roll, Open-Faced Sandwich, Apple Pudding Pie, Sautéed Apples with Bacon, Berry Jelly, Sashimi Moriawase, Miso Soup, Anmitsu, Mutton Stew, Cod Dip, Berry Custard Tart, Peach Sorbet, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade, Chili Salad","Cream Croquette, Deep-Fried Carp, Steak Fries, Nut Milk Pie, Seafood Medley with Garlic, Fried Sardines, Churros, Rice Croquettes, Rosetta Bread, Uiro, Rice with Egg, Peasant Bread, Croissant, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Céline,Sophisticated,Firene-Style,Mouthwatering,Emperor's Mess,Apple Pie,Peach Cake,Syrup-Simmered Berries,Steamed Dango,"Fruit Pie, Creamy Fish Chowder, Crisp Bread, Sour Cream Congee, Crêpe Pancakes, Cheese Wedge, Baked Potato, Crumble Cake, Meat Pie, Onion Soup, Bean and Veggie Consommé, Apple Pie, Steamed Dango, Onion Quiche, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Omelet, Deep-Dish Crêpe Pizza, Nut Milk Pie, Nut Rice Pudding, Chilled Vegetable Soup, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Churros, Classic Pizza, Risotto, Rice Croquettes, Veal Rolls, Potted Casserole, Sandwich Cake, Roast Salmon, Mashed Potato Stew, Jam Thumbprint Cookies, Cinnamon Roll, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Croissant, Cod Dip, Hot Crêpe, Berry Custard Tart, Apple Beignets, Chocolate Orange","Chicken Tomato Curry, Smoked Freshwater Eel, Deep-Fried Carp, Apple and Cheese Toasties, Steak Fries, Dome Bread, Seafood Medley with Garlic, Rosetta Bread, Blood Sausage, Clover Salad, Soda Bread, Sashimi Moriawase, Rice with Egg, Peasant Bread, Chili Salad, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce, Pickled Chilies, Chicken Tom Yum Soup, Chili-Cheese Stew, Red Mapo Tofu, Pork and Kimchi Stir-Fry",
Louis,Dainty,Extremely Rich,Firene-Style,Syrup-Simmered Berries,Deep-Dish Crêpe Pizza,Apple Pie,Caramel Nut Cake,Jelly Doughnuts,"Fruit Pie, Crisp Bread, Crêpe Pancakes, Jam Cake, Tree Cake, Nut Compote, Crumble Cake, Apple Pie, Steamed Dango, Peach Cake, Caramel Nut Cake, Syrup-Simmered Berries, Jelly Doughnuts, Emperor's Mess, Deep-Dish Crêpe Pizza, Nut Milk Pie, Nut Rice Pudding, Tiramisu, Berry Sauce Panna Cotta, Crème Brûlée, Churros, Soft Candies, Rosetta Bread, Jam Thumbprint Cookies, Cinnamon Roll, Apple Pudding Pie, Puffy Pancakes, Berry Jelly, Anmitsu, Hot Crêpe, Berry Custard Tart, Peach Sorbet, Apple Beignets, Chocolate Orange, Candied Fruits, Fruit Smoothie, Apple Compote, Orange Marmalade","Mutton and Cabbage Stew, Braised Lamb Shank, Cod Boil, Cheese Wedge, Haggis, Deep-Fried Carp, Apple and Cheese Toasties, Acqua Pazza, Blood Sausage, Sautéed Apples with Bacon, Mutton Stew, Cod Dip, Chili-Covered Fruit Sticks, Peach Sorbet with Chili Sauce",
