<--------------------,Recruitment info in previous tab,,,,,,,,,"If not listed, character gains",,,,,"Base stats were all calculated. If anything looks odd, please contact me!",,,,,,,,,,,,Remember that you need to add class growths!,,,,I tested Alear and Dragon Child growths:,,,https://twitter.com/Aveyn_Knight/status/1616091790746222592,,,,,,,,,,,,,,,,Seems odd?,,,,,,,,,,,
,Sorry about any messed up symbolsÃ©,,,,,,,,,Proficiency from their initial class,,,,Internal,Enemy stats are for Normal mode (keep scrolling ------------------------------------> for Hard mode stats),,,,,,,,,,,,,,,,,,"Also Sight and Movement growth, but all 0",,,,,,,,,,,,,,,,,,,Hard mode stats,,,,,,,,,
Name,Notes,ID,Initial Class,Age,Gender,Birth Month,Birth Day,,Support Type,Innate Prof.,Sub Proficiency,,Level,Level,HP Base,Str Base,Mag Base,Dex Base,Spd Base,Def Base,Res Base,Lck Base,Bld Base,Mov Base,SP,,HP Growth,Str Growth,Mag Growth,Dex Growth,Spd Growth,Def Growth,Res Growth,Lck Growth,Bld Growth,,Str Cap+,Mag Cap+,Dex Cap+,Spd Cap+,Def Cap+,Res Cap+,Lck Cap+,,Common Skills,Normal Skills,Hard Skills,Maddening Skills,Engage Skills,Origin,Description,HP Base,Str Base,Mag Base,Dex Base,Spd Base,Def Base,Res Base,Lck Base,Bld Base,Mov Base
???,Failsafe,PID_不明,---,---,Male,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,---,1,0,0,0,0,0,0,0,0,1
Alear,,PID_リュール,Dragon Child,17,Male,---,---,,Balanced,Sword,Arts,,1,0,22,6,0,5,7,5,3,5,4,4,300,,60,35,20,45,50,40,25,25,5,,1,0,1,1,0,0,0,,"Divinely Inspiring, (Protagonist), (Equip Libération), (Equip Wille Glanz), (Royal)",---,---,---,---,Lythos,"Successor to the Divine Dragon, awoken from a long sleep. Summons Emblems to lead the world to peace.",22,6,0,5,7,5,3,5,4,4
Vander,,PID_ヴァンドレ,Paladin,45,Male,November,26,,Avoid,Axe,---,,1,15,40,11,5,10,8,10,8,6,8,6,500,,60,25,10,25,35,35,20,10,5,,1,-1,1,-2,3,-2,0,,Alabaster Duty,---,---,---,---,Lythos,"A Steward of the Dragon, long in the service of the Divine Dragon. He is a straight-laced, rigid gentleman.",40,11,5,10,8,10,8,6,8,6
Clanne,,PID_クラン,Mage,16,Male,March,10,,Critical,Tome,Sword,,1,0,19,1,8,11,9,4,7,4,4,4,300,,40,35,10,40,50,30,25,20,5,,1,-1,2,2,-2,-1,0,,Verdant Faith,---,---,---,---,Lythos,An apprentice Steward of the Dragon and the gentle twin brother of Framme.,19,1,8,11,9,4,7,4,4,4
Framme,,PID_フラン,Martial Monk,16,Female,March,10,,Hit,Arts,Staff,,1,0,18,3,5,8,7,4,8,5,3,4,300,,55,30,25,35,55,25,30,25,0,,0,1,-1,2,-1,-1,1,,Crimson Cheer,---,---,---,---,Lythos,"An apprentice Steward of the Dragon and the determined, buoyant twin sister of Clanne.",18,3,5,8,7,4,8,5,3,4
Alfred,,PID_アルフレッド,Noble,21,Male,August,8,,Avoid,Lance,Sword,,5,0,27,9,2,10,6,8,5,8,6,5,300,,65,40,5,35,40,40,20,40,10,,2,-1,1,0,2,-2,-1,,"Self-Improver, (Royal)",---,---,---,---,Firene,The staunch and loyal crown prince of Firene. He trains constantly to strengthen his constitution.,27,9,2,10,6,8,5,8,6,5
Etie,,PID_エーティエ,Archer,17,Female,October,1,,Dodge,Bow,---,,4,0,21,10,0,11,6,3,2,8,4,4,300,,45,40,0,25,35,25,30,25,5,,2,-2,2,0,0,-1,-1,,Energized,---,---,---,---,Firene,Prince Alfred's retainer. A haughty woman with a love for building muscle.,21,10,0,11,6,3,2,8,4,4
Boucheron,,PID_ブシュロン,Axe Fighter,23,Male,May,11,,Critical,Axe,---,,4,0,29,10,0,8,7,6,3,5,9,4,300,,85,20,0,50,45,35,20,15,20,,1,0,2,2,-2,0,-2,,Moved to Tears,---,---,---,---,Firene,Prince Alfred's retainer. A tender- hearted man whose powerful build comes naturally.,29,10,0,8,7,6,3,5,9,4
Céline,,PID_セリーヌ,Noble,17,Female,December,18,,Dodge,Tome,"Sword, Staff",,5,0,22,7,9,9,10,5,7,11,4,4,300,,50,35,25,30,45,30,40,50,5,,-2,2,-2,1,-3,1,3,,"Gentle Flower, (Royal)",---,---,---,---,Firene,"The princess of Firene. Despite her gentle demeanor, she has an iron will when her people must be protected.",22,7,9,9,10,5,7,11,4,4
